mc_experiments;mc_stats;mc_surveys;mc_hidden;mc_qrp;trust1;trust2;trust3;trust4;trust5;gender;gender_3_TEXT;age;english;english_native;race;CON
5;5;3;NA;NA;5;3;3;5;5;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;7;1;1;5;5;1;1;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;7;1;NA;NA;4;4;4;4;4;1;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;5;4;3;5;5;5;3;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
5;4;4;5;5;5;4;4;5;5;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;7;7;3;7;3;7;7;3;3;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;1;7;6;2;3;5;5;2;2;1;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
3;3;3;1;3;3;3;4;3;3;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
6;2;7;5;4;3;4;4;3;5;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;5;7;2;6;6;2;2;1;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
7;2;7;NA;NA;2;6;6;2;3;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;6;2;2;1;6;2;1;1;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWMOD
7;1;7;4;7;1;7;7;1;1;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
3;2;7;NA;NA;5;3;2;6;6;2;Deleted to protect anonymity;52;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
4;3;4;3;4;4;3;4;3;5;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWQRP
