"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replicable";"mc_trans";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"80";7;1;7;7;7;7;7;7;7;7;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";7
"81";6;2;6;7;4;5;6;7;6;7;2;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,2
"82";5;4;3;5;4;3;4;4;5;3;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,8
"83";7;1;7;7;5;7;7;6;6;6;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,4
"84";7;2;6;4;3;3;4;4;3;4;1;53;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,6
"85";7;2;5;5;6;4;3;4;3;3;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,4
"86";6;1;6;4;6;4;3;3;3;3;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,2
"87";7;2;7;7;3;6;7;7;6;6;2;62;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";6,4
"88";6;2;6;5;5;6;2;6;5;6;2;54;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5
"89";7;1;7;3;4;4;4;5;6;5;1;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,8
"90";7;1;7;6;7;7;7;7;7;7;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";7
"91";7;1;7;5;5;6;5;5;6;5;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,4
"92";6;2;7;5;5;6;7;6;5;5;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,8
"93";6;1;7;5;4;7;6;7;6;7;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,6
"94";7;1;7;7;7;6;6;7;6;5;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6
"95";7;1;7;5;5;2;2;1;2;2;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";1,8
"96";4;4;4;4;4;7;1;1;1;4;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";2,8
"97";7;7;7;7;7;1;7;7;1;1;2;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,4
"98";7;1;7;5;4;5;5;5;5;5;2;48;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5
"99";7;1;7;6;4;5;4;4;6;5;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,8
"100";4;5;7;6;5;3;6;5;2;2;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,6
"101";6;1;3;3;4;5;5;5;5;5;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5
"102";4;4;4;4;5;4;5;3;3;4;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,8
"103";6;1;7;6;2;6;6;6;4;6;1;44;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,6
"104";6;7;6;7;6;2;7;7;2;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4
"105";7;1;7;4;4;5;4;3;5;5;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,4
"106";6;3;7;5;6;5;5;5;5;2;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,4
"107";6;3;6;4;5;4;3;4;5;6;2;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,4
"108";6;2;7;5;4;5;5;4;4;4;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,4
"109";7;7;6;6;7;1;6;7;1;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,2
"110";7;7;7;4;7;6;6;6;7;7;1;60;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6,4
"111";7;1;7;7;7;7;7;7;7;7;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";7
"112";7;1;7;5;5;7;6;6;6;6;2;54;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,2
"113";7;1;7;7;4;3;2;2;3;2;1;42;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";2,4
"114";7;1;7;6;6;6;6;7;7;7;2;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";6,6
"115";7;1;7;6;5;6;6;6;5;6;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,8
"116";7;1;7;5;3;5;4;5;3;5;2;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,4
"117";7;1;7;5;4;6;5;5;5;5;1;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5,2
"118";5;2;5;5;5;5;5;5;6;6;2;57;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,4
"119";7;1;7;7;7;6;6;6;6;6;1;77;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6
"120";7;1;7;6;6;6;6;6;6;6;1;52;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";6
"121";7;1;7;7;1;7;7;7;7;7;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";7
"122";7;1;7;7;7;7;7;7;7;5;1;19;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,6
"123";7;1;7;7;7;7;7;7;6;6;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6,6
"124";7;1;7;7;6;6;7;6;7;7;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";6,6
