"";"mc_experiments";"mc_stats";"mc_rpp";"mc_rpp2";"mc_replicable2";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust";"mcfailure"
"126";7;1;7;NA;NA;7;7;7;7;7;2;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";7;0
"127";7;1;NA;7;2;6;5;4;6;5;1;58;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5,2;0
"128";6;7;NA;6;5;2;7;6;3;1;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,8;1
"129";5;2;7;NA;NA;5;5;4;3;6;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,6;0
"130";7;2;NA;5;7;5;5;6;5;5;1;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,2;0
"131";7;1;NA;7;7;7;6;7;7;6;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6,6;0
"132";4;3;NA;6;5;4;3;5;5;2;2;23;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;1
"133";7;1;NA;6;6;6;6;6;6;6;2;36;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6;0
"134";7;1;NA;7;6;6;5;4;6;7;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,6;0
"135";7;1;NA;7;7;5;5;4;5;5;1;69;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4,8;0
"136";7;1;7;NA;NA;7;6;7;6;4;1;46;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6;0
"137";7;6;7;NA;NA;1;6;7;2;1;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4;1
"138";7;1;NA;7;5;7;7;7;7;7;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";7;0
"139";7;1;NA;7;7;6;6;6;4;3;2;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5;0
"141";7;1;NA;7;6;7;6;6;6;6;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";6,2;0
"142";6;5;6;NA;NA;3;6;6;3;3;2;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,2;1
