"";"mc_experiments";"mc_stats";"mc_rpp";"mc_hidden";"mc_qrp";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"87";7;2;6;5;4;6;5;6;6;5;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";5,6
"88";6;1;7;NA;NA;5;4;6;6;5;1;50;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,2
"89";7;1;7;NA;NA;4;5;4;4;3;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4
"90";7;2;7;5;5;4;4;4;4;3;2;58;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,8
"91";6;2;7;NA;NA;6;5;5;6;5;1;45;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,4
"92";7;1;1;7;6;6;5;5;4;4;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4,8
"94";7;1;7;NA;NA;4;5;6;4;5;2;67;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,8
"95";7;4;7;NA;NA;3;4;4;4;3;1;68;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6
"96";7;1;7;7;1;3;2;3;3;3;1;41;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";2,8
"97";7;2;7;6;4;7;6;6;7;6;1;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";6,4
"98";7;1;7;7;5;5;5;5;6;6;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,4
"99";6;4;6;6;3;4;5;5;5;5;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4,8
"100";7;1;7;5;5;5;4;3;3;3;1;62;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"101";7;1;7;4;5;3;4;3;3;2;2;53;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3
"102";4;3;5;5;4;4;5;4;5;2;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4
"103";7;1;7;4;6;7;5;6;6;5;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";5,8
"104";7;1;7;NA;NA;4;4;4;4;4;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4
"105";5;2;5;7;2;7;5;5;6;7;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";6
"106";7;1;7;NA;NA;3;3;4;5;2;1;52;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4
"107";7;7;7;6;7;1;7;7;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"108";6;2;7;3;6;6;5;5;4;5;2;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";5
"109";7;1;7;1;7;7;5;5;6;7;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";6
"110";7;1;6;NA;NA;7;6;6;6;7;2;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,4
